Title,Title_URL,Image,listeritemimage_URL,listeritemindex,Year,certificate,Time,genre,iplratingstar,iplratinginteractive__starcontainer__divcontains_class_iplratingstar,Score,Content,textmuted,textmuted_URL,textmuted1,textmuted_URL2,textmuted3,textmuted_URL4,textmuted5,textmuted_URL6,textmuted7,textmuted_URL8,textmuted9,textmuted_URL10,textmuted11,textmuted12,textmuted13,Text,directors,boxoffice
Tangled,https://www.imdb.com/title/tt0398286/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0398286/?ref_=ttls_li_i,1.,(2010),PG,100 min,"
Animation, Adventure, Comedy            ",7.7,Rate,"
71        
        Metascore
        ","
    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","
    Directors:
Nathan Greno, 
Byron Howard
                 | 
    Stars:
Mandy Moore, 
Zachary Levi, 
Donna Murphy, 
Ron Perlman
    ",https://www.imdb.com/name/nm1977355/?ref_=ttls_li_dr_0,Nathan Greno,https://www.imdb.com/name/nm0397174/?ref_=ttls_li_dr_1,Byron Howard,https://www.imdb.com/name/nm0601553/?ref_=ttls_li_st_0,Mandy Moore,https://www.imdb.com/name/nm1157048/?ref_=ttls_li_st_1,Zachary Levi,https://www.imdb.com/name/nm0614220/?ref_=ttls_li_st_2,Donna Murphy,https://www.imdb.com/name/nm0000579/?ref_=ttls_li_st_3,Ron Perlman,"402,208",$200.82M,"
                        1h 40min
                    ","
        Directors:
Nathan Greno, Byron Howard    ","
Cumulative Worldwide Gross: $592,461,959        "
The Princess and the Frog,https://www.imdb.com/title/tt0780521/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0780521/?ref_=ttls_li_i,2.,(2009),U,97 min,"
Animation, Adventure, Comedy            ",7.1,Rate,"
73        
        Metascore
        ","
    A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.","
    Directors:
Ron Clements, 
John Musker
                 | 
    Stars:
Anika Noni Rose, 
Keith David, 
Oprah Winfrey, 
Bruno Campos
    ",https://www.imdb.com/name/nm0166256/?ref_=ttls_li_dr_0,Ron Clements,https://www.imdb.com/name/nm0615780/?ref_=ttls_li_dr_1,John Musker,https://www.imdb.com/name/nm0741242/?ref_=ttls_li_st_0,Anika Noni Rose,https://www.imdb.com/name/nm0202966/?ref_=ttls_li_st_1,Keith David,https://www.imdb.com/name/nm0001856/?ref_=ttls_li_st_2,Oprah Winfrey,https://www.imdb.com/name/nm0004797/?ref_=ttls_li_st_3,Bruno Campos,"123,027",$104.40M,"
                        1h 37min
                    ","
        Directors:
Ron Clements, John Musker    ","
    Production Co:
 Walt Disney Animation Studios, Walt Disney Pictures      
        See more »
      
    "
Beauty and the Beast,https://www.imdb.com/title/tt0101414/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0101414/?ref_=ttls_li_i,3.,(1991),U,84 min,"
Animation, Family, Fantasy            ",8,Rate,"
95        
        Metascore
        ","
    A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.","
    Directors:
Gary Trousdale, 
Kirk Wise
                 | 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
    ",https://www.imdb.com/name/nm0873779/?ref_=ttls_li_dr_0,Gary Trousdale,https://www.imdb.com/name/nm0936374/?ref_=ttls_li_dr_1,Kirk Wise,https://www.imdb.com/name/nm0641314/?ref_=ttls_li_st_0,Paige O'Hara,https://www.imdb.com/name/nm0000913/?ref_=ttls_li_st_1,Robby Benson,https://www.imdb.com/name/nm0181425/?ref_=ttls_li_st_2,Jesse Corti,https://www.imdb.com/name/nm0263591/?ref_=ttls_li_st_3,Rex Everhart,"414,835",$218.97M,"
                        1h 24min
                    ","
        Directors:
Gary Trousdale, Kirk Wise    ","
Cumulative Worldwide Gross: $424,967,620        "
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0198781/?ref_=ttls_li_i,4.,(2001),U,92 min,"
Animation, Adventure, Comedy            ",8.1,Rate,"
79        
        Metascore
        ","
    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","
    Directors:
Pete Docter, 
David Silverman, 
Lee Unkrich
                 | 
    Stars:
Billy Crystal, 
John Goodman, 
Mary Gibbs, 
Steve Buscemi
    ",https://www.imdb.com/name/nm0230032/?ref_=ttls_li_dr_0,Pete Docter,https://www.imdb.com/name/nm0798899/?ref_=ttls_li_dr_1,David Silverman,https://www.imdb.com/name/nm0881279/?ref_=ttls_li_dr_2,Lee Unkrich,https://www.imdb.com/name/nm0000345/?ref_=ttls_li_st_0,Billy Crystal,https://www.imdb.com/name/nm0000422/?ref_=ttls_li_st_1,John Goodman,https://www.imdb.com/name/nm0316701/?ref_=ttls_li_st_2,Mary Gibbs,"807,741",$289.92M,"
                        1h 32min
                    ","
        Directors:
Pete Docter, David Silverman (co-director)            |
1 more credit »
    ","
Cumulative Worldwide Gross: $579,707,070        "
Aladdin,https://www.imdb.com/title/tt0103639/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0103639/?ref_=ttls_li_i,5.,(1992),U,90 min,"
Animation, Adventure, Comedy            ",8,Rate,"
86        
        Metascore
        ","
    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","
    Directors:
Ron Clements, 
John Musker
                 | 
    Stars:
Scott Weinger, 
Robin Williams, 
Linda Larkin, 
Jonathan Freeman
    ",https://www.imdb.com/name/nm0166256/?ref_=ttls_li_dr_0,Ron Clements,https://www.imdb.com/name/nm0615780/?ref_=ttls_li_dr_1,John Musker,https://www.imdb.com/name/nm0918334/?ref_=ttls_li_st_0,Scott Weinger,https://www.imdb.com/name/nm0000245/?ref_=ttls_li_st_1,Robin Williams,https://www.imdb.com/name/nm0488306/?ref_=ttls_li_st_2,Linda Larkin,https://www.imdb.com/name/nm0293455/?ref_=ttls_li_st_3,Jonathan Freeman,"371,273",$217.35M,"
                        1h 30min
                    ","
        Directors:
Ron Clements, John Musker    ","
Cumulative Worldwide Gross: $504,050,219        "
Pocahontas,https://www.imdb.com/title/tt0114148/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0114148/?ref_=ttls_li_i,6.,(I) (1995),U,81 min,"
Animation, Adventure, Drama            ",6.7,Rate,"
58        
        Metascore
        ","
    An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.","
    Directors:
Mike Gabriel, 
Eric Goldberg
                 | 
    Stars:
Mel Gibson, 
Linda Hunt, 
Christian Bale, 
Joe Baker
    ",https://www.imdb.com/name/nm0300265/?ref_=ttls_li_dr_0,Mike Gabriel,https://www.imdb.com/name/nm0325196/?ref_=ttls_li_dr_1,Eric Goldberg,https://www.imdb.com/name/nm0000154/?ref_=ttls_li_st_0,Mel Gibson,https://www.imdb.com/name/nm0001373/?ref_=ttls_li_st_1,Linda Hunt,https://www.imdb.com/name/nm0000288/?ref_=ttls_li_st_2,Christian Bale,https://www.imdb.com/name/nm0048589/?ref_=ttls_li_st_3,Joe Baker,"169,125",$141.60M,"
                        1h 21min
                    ","
        Directors:
Mike Gabriel, Eric Goldberg    ","
Cumulative Worldwide Gross: $346,079,773        "
Hercules,https://www.imdb.com/title/tt0119282/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0119282/?ref_=ttls_li_i,7.,(1997),U,93 min,"
Animation, Adventure, Comedy            ",7.3,Rate,"
74        
        Metascore
        ","
    The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.","
    Directors:
Ron Clements, 
John Musker
                 | 
    Stars:
Tate Donovan, 
Susan Egan, 
James Woods, 
Josh Keaton
    ",https://www.imdb.com/name/nm0166256/?ref_=ttls_li_dr_0,Ron Clements,https://www.imdb.com/name/nm0615780/?ref_=ttls_li_dr_1,John Musker,https://www.imdb.com/name/nm0004883/?ref_=ttls_li_st_0,Tate Donovan,https://www.imdb.com/name/nm0250743/?ref_=ttls_li_st_1,Susan Egan,https://www.imdb.com/name/nm0000249/?ref_=ttls_li_st_2,James Woods,https://www.imdb.com/name/nm0005079/?ref_=ttls_li_st_3,Josh Keaton,"204,210",$99.05M,"
                        1h 33min
                    ","
        Directors:
Ron Clements, John Musker    ","
    Production Co:
 Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Feature Animation Paris      
        See more »
      
    "
A Bug's Life,https://www.imdb.com/title/tt0120623/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0120623/?ref_=ttls_li_i,8.,(1998),U,95 min,"
Animation, Adventure, Comedy            ",7.2,Rate,"
77        
        Metascore
        ","
    A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","
    Directors:
John Lasseter, 
Andrew Stanton
                 | 
    Stars:
Kevin Spacey, 
Dave Foley, 
Julia Louis-Dreyfus, 
Hayden Panettiere
    ",https://www.imdb.com/name/nm0005124/?ref_=ttls_li_dr_0,John Lasseter,https://www.imdb.com/name/nm0004056/?ref_=ttls_li_dr_1,Andrew Stanton,https://www.imdb.com/name/nm0000228/?ref_=ttls_li_st_0,Kevin Spacey,https://www.imdb.com/name/nm0004929/?ref_=ttls_li_st_1,Dave Foley,https://www.imdb.com/name/nm0000506/?ref_=ttls_li_st_2,Julia Louis-Dreyfus,https://www.imdb.com/name/nm0659363/?ref_=ttls_li_st_3,Hayden Panettiere,"264,574",$162.80M,"
                        1h 35min
                    ","
        Directors:
John Lasseter, Andrew Stanton (co-director)    ","
Cumulative Worldwide Gross: $363,258,859        "
Toy Story,https://www.imdb.com/title/tt0114709/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0114709/?ref_=ttls_li_i,9.,(1995),PG,81 min,"
Animation, Adventure, Comedy            ",8.3,Rate,"
95        
        Metascore
        ","
    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","
    Director:
John Lasseter
                 | 
    Stars:
Tom Hanks, 
Tim Allen, 
Don Rickles, 
Jim Varney
    ",https://www.imdb.com/name/nm0005124/?ref_=ttls_li_dr_0,John Lasseter,https://www.imdb.com/name/nm0000158/?ref_=ttls_li_st_0,Tom Hanks,https://www.imdb.com/name/nm0000741/?ref_=ttls_li_st_1,Tim Allen,https://www.imdb.com/name/nm0725543/?ref_=ttls_li_st_2,Don Rickles,https://www.imdb.com/name/nm0001815/?ref_=ttls_li_st_3,Jim Varney,,,"878,811",$191.80M,"
                        1h 21min
                    ","
        Director:
John Lasseter    ","
Cumulative Worldwide Gross: $373,554,033        "
The Lion King,https://www.imdb.com/title/tt0110357/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0110357/?ref_=ttls_li_i,10.,(1994),U,88 min,"
Animation, Adventure, Drama            ",8.5,Rate,"
88        
        Metascore
        ","
    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","
    Directors:
Roger Allers, 
Rob Minkoff
                 | 
    Stars:
Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg
    ",https://www.imdb.com/name/nm0021249/?ref_=ttls_li_dr_0,Roger Allers,https://www.imdb.com/name/nm0591450/?ref_=ttls_li_dr_1,Rob Minkoff,https://www.imdb.com/name/nm0000111/?ref_=ttls_li_st_0,Matthew Broderick,https://www.imdb.com/name/nm0000460/?ref_=ttls_li_st_1,Jeremy Irons,https://www.imdb.com/name/nm0000469/?ref_=ttls_li_st_2,James Earl Jones,https://www.imdb.com/name/nm0000155/?ref_=ttls_li_st_3,Whoopi Goldberg,"932,650",$422.78M,"
                        1h 28min
                    ","
        Directors:
Roger Allers, Rob Minkoff    ","
Cumulative Worldwide Gross: $1,083,720,507        "
Mulan,https://www.imdb.com/title/tt0120762/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0120762/?ref_=ttls_li_i,11.,(1998),PG,88 min,"
Animation, Adventure, Family            ",7.6,Rate,"
71        
        Metascore
        ","
    To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","
    Directors:
Tony Bancroft, 
Barry Cook
                 | 
    Stars:
Ming-Na Wen, 
Eddie Murphy, 
BD Wong, 
Miguel Ferrer
    ",https://www.imdb.com/name/nm0051643/?ref_=ttls_li_dr_0,Tony Bancroft,https://www.imdb.com/name/nm0176905/?ref_=ttls_li_dr_1,Barry Cook,https://www.imdb.com/name/nm0001840/?ref_=ttls_li_st_0,Ming-Na Wen,https://www.imdb.com/name/nm0000552/?ref_=ttls_li_st_1,Eddie Murphy,https://www.imdb.com/name/nm0000703/?ref_=ttls_li_st_2,BD Wong,https://www.imdb.com/name/nm0001208/?ref_=ttls_li_st_3,Miguel Ferrer,"253,919",$120.62M,"
                        1h 28min
                    ","
        Directors:
Tony Bancroft, Barry Cook    ","
    Production Co:
 Walt Disney Animation Studios, Walt Disney Feature Animation Florida, Walt Disney Pictures      
        See more »
      
    "
Meet the Robinsons,https://www.imdb.com/title/tt0396555/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0396555/?ref_=ttls_li_i,12.,(2007),U,95 min,"
Animation, Adventure, Comedy            ",6.8,Rate,"
61        
        Metascore
        ","
    Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.","
    Director:
Stephen J. Anderson
                 | 
    Stars:
Daniel Hansen, 
Wesley Singerman, 
Angela Bassett, 
Jordan Fry
    ",https://www.imdb.com/name/nm0027459/?ref_=ttls_li_dr_0,Stephen J. Anderson,https://www.imdb.com/name/nm0360743/?ref_=ttls_li_st_0,Daniel Hansen,https://www.imdb.com/name/nm1130617/?ref_=ttls_li_st_1,Wesley Singerman,https://www.imdb.com/name/nm0000291/?ref_=ttls_li_st_2,Angela Bassett,https://www.imdb.com/name/nm1627748/?ref_=ttls_li_st_3,Jordan Fry,,,"86,725",$97.82M,"
                        1h 35min
                    ","
        Director:
Stephen J. Anderson (as Stephen Anderson)    ","
Cumulative Worldwide Gross: $169,333,034        "
A Goofy Movie,https://www.imdb.com/title/tt0113198/?ref_=ttls_li_tt,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB466725069_.png,https://www.imdb.com/title/tt0113198/?ref_=ttls_li_i,13.,(1995),U,78 min,"
Animation, Adventure, Comedy            ",6.9,Rate,,"
    When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.","
    Director:
Kevin Lima
                 | 
    Stars:
Bill Farmer, 
Jason Marsden, 
Jim Cummings, 
Kellie Martin
    ",https://www.imdb.com/name/nm0510674/?ref_=ttls_li_dr_0,Kevin Lima,https://www.imdb.com/name/nm0267724/?ref_=ttls_li_st_0,Bill Farmer,https://www.imdb.com/name/nm0005189/?ref_=ttls_li_st_1,Jason Marsden,https://www.imdb.com/name/nm0191906/?ref_=ttls_li_st_2,Jim Cummings,https://www.imdb.com/name/nm0005192/?ref_=ttls_li_st_3,Kellie Martin,,,"45,754",$35.35M,"
                        1h 18min
                    ","
        Director:
Kevin Lima    ","
Cumulative Worldwide Gross: $35,348,597        "
