,Title,Year,certificate,Time,genre,star_rating,Content,votes,Text,boxoffice,Directors,Stars,MetaScore,gross_box_office
0,Tangled,2010,PG,100,"Animation, Adventure, Comedy",7.7,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","402,208",                        1h 40mi,"$592,461,959","Nathan Greno, Byron Howard                 ","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman    ",71.0,200.82
1,The Princess and the Frog,2009,U,97,"Animation, Adventure, Comedy",7.1,"    A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.","123,027",                        1h 37mi,$0,"Ron Clements, John Musker                 ","Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos    ",73.0,104.4
2,Beauty and the Beast,1991,U,84,"Animation, Family, Fantasy",8.0,    A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"414,835",                        1h 24mi,"$424,967,620","Gary Trousdale, Kirk Wise                 ","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart    ",95.0,218.97
3,"Monsters, Inc.",2001,U,92,"Animation, Adventure, Comedy",8.1,"    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","807,741",                        1h 32mi,"$579,707,070","Pete Docter, David Silverman, Lee Unkrich                 ","Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi    ",79.0,289.92
4,Aladdin,1992,U,90,"Animation, Adventure, Comedy",8.0,    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"371,273",                        1h 30mi,"$504,050,219","Ron Clements, John Musker                 ","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman    ",86.0,217.35
5,Pocahontas,I,U,81,"Animation, Adventure, Drama",6.7,    An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"169,125",                        1h 21mi,"$346,079,773","Mike Gabriel, Eric Goldberg                 ","Mel Gibson, Linda Hunt, Christian Bale, Joe Baker    ",58.0,141.6
6,Hercules,1997,U,93,"Animation, Adventure, Comedy",7.3,    The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,"204,210",                        1h 33mi,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Feature Animation Paris      
        See more »","Ron Clements, John Musker                 ","Tate Donovan, Susan Egan, James Woods, Josh Keaton    ",74.0,99.05
7,A Bug's Life,1998,U,95,"Animation, Adventure, Comedy",7.2,"    A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","264,574",                        1h 35mi,"$363,258,859","John Lasseter, Andrew Stanton                 ","Kevin Spacey, Dave Foley, Julia Louis-Dreyfus, Hayden Panettiere    ",77.0,162.8
8,Toy Story,1995,PG,81,"Animation, Adventure, Comedy",8.3,    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"878,811",                        1h 21mi,"$373,554,033",John Lasseter                 ,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney    ",95.0,191.8
9,The Lion King,1994,U,88,"Animation, Adventure, Drama",8.5,"    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","932,650",                        1h 28mi,"$1,083,720,507","Roger Allers, Rob Minkoff                 ","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg    ",88.0,422.78
