iter	Passed	Remaining
0	1	1852
1	3	1859
2	5	1833
3	7	1754
4	8	1704
5	10	1669
6	11	1643
7	13	1621
8	14	1610
9	16	1610
10	17	1600
11	19	1589
12	21	1595
13	22	1591
14	24	1584
15	25	1589
16	27	1582
17	28	1576
18	30	1582
19	32	1576
20	33	1571
21	36	1618
22	37	1613
23	39	1606
24	41	1599
25	42	1593
26	44	1586
27	45	1588
28	48	1634
29	50	1644
30	52	1638
31	54	1639
32	55	1627
33	56	1614
34	58	1618
35	60	1607
36	61	1601
37	62	1590
38	64	1595
39	66	1585
40	68	1599
41	69	1592
42	71	1581
43	72	1571
44	73	1555
45	74	1546
46	75	1535
47	77	1546
48	79	1539
49	80	1531
50	81	1523
51	83	1517
52	84	1515
53	86	1510
54	87	1503
55	88	1496
56	90	1493
57	91	1488
58	92	1481
59	94	1475
60	95	1469
61	96	1462
62	97	1456
63	99	1457
64	101	1464
65	104	1473
66	106	1481
67	107	1476
68	109	1474
69	110	1464
70	111	1462
71	113	1463
72	115	1470
73	118	1484
74	120	1480
75	121	1478
76	123	1482
77	125	1480
78	126	1478
79	128	1476
80	129	1474
81	132	1485
82	134	1485
83	135	1480
84	137	1478
85	138	1476
86	140	1475
87	142	1471
88	143	1468
89	144	1460
90	145	1457
91	147	1459
92	149	1455
93	150	1450
94	151	1446
95	153	1441
96	154	1439
97	156	1439
98	167	1527
99	169	1522
100	170	1516
101	171	1511
102	173	1513
103	175	1513
104	177	1513
105	179	1513
106	184	1537
107	185	1533
108	186	1528
109	188	1524
110	189	1514
111	190	1509
112	191	1501
113	192	1492
114	192	1483
115	194	1479
116	195	1476
117	197	1472
118	198	1472
119	200	1468
120	201	1464
121	202	1460
122	204	1455
123	205	1451
124	207	1450
125	208	1448
126	210	1444
127	212	1447
128	213	1442
129	215	1438
130	216	1434
131	217	1430
132	218	1426
133	220	1424
134	221	1420
135	222	1416
136	224	1412
137	224	1405
138	226	1401
139	228	1402
140	229	1399
141	231	1397
142	232	1393
143	233	1390
144	235	1386
145	236	1383
146	237	1379
147	239	1375
148	239	1369
149	241	1366
150	242	1365
151	244	1363
152	245	1358
153	246	1355
154	247	1351
155	249	1348
156	250	1345
157	251	1342
158	253	1339
159	254	1336
160	255	1333
161	257	1329
162	258	1328
163	260	1328
164	261	1324
165	263	1322
166	264	1317
167	265	1314
168	266	1311
169	267	1308
170	269	1304
171	270	1301
172	271	1298
173	272	1295
174	274	1295
175	276	1293
176	277	1288
177	278	1285
178	279	1282
179	280	1279
180	282	1276
181	283	1273
182	284	1272
183	286	1269
184	287	1267
185	289	1268
186	292	1271
187	293	1268
188	295	1265
189	296	1263
190	297	1261
191	299	1258
192	300	1255
193	301	1252
194	302	1250
195	304	1247
196	305	1244
197	307	1245
198	308	1243
199	310	1240
200	311	1238
201	312	1235
202	313	1231
203	314	1228
204	316	1225
205	317	1224
206	319	1222
207	320	1219
208	321	1216
209	323	1216
210	324	1214
211	325	1210
212	327	1208
213	328	1206
214	329	1204
215	331	1201
216	332	1199
217	333	1197
218	334	1194
219	336	1191
220	337	1189
221	339	1189
222	340	1187
223	342	1185
224	343	1182
225	344	1178
226	345	1175
227	346	1173
228	347	1171
229	349	1169
230	350	1167
231	351	1164
232	353	1162
233	354	1161
234	356	1160
235	357	1158
236	359	1155
237	360	1155
238	362	1153
239	363	1150
240	364	1148
241	365	1146
242	367	1144
243	368	1141
244	369	1139
245	371	1138
246	372	1136
247	374	1134
248	374	1130
249	376	1128
250	377	1126
251	378	1124
252	379	1120
253	380	1118
254	382	1117
255	383	1115
256	385	1113
257	386	1111
258	387	1110
259	389	1107
260	390	1105
261	391	1103
262	395	1107
263	396	1105
264	397	1103
265	398	1100
266	400	1098
267	401	1096
268	403	1095
269	404	1094
270	406	1092
271	407	1090
272	408	1087
273	409	1085
274	410	1083
275	412	1081
276	412	1077
277	414	1076
278	415	1074
279	416	1070
280	417	1068
281	419	1067
282	420	1065
283	421	1063
284	423	1061
285	424	1059
286	425	1058
287	427	1056
288	428	1054
289	429	1052
290	430	1050
291	432	1047
292	433	1045
293	435	1045
294	436	1043
295	437	1041
296	439	1039
297	440	1037
298	441	1035
299	443	1034
300	444	1032
301	445	1030
302	447	1028
303	448	1026
304	449	1025
305	452	1025
306	453	1023
307	454	1021
308	455	1019
309	457	1019
310	459	1017
311	460	1016
312	462	1014
313	463	1011
314	464	1009
315	465	1007
316	467	1008
317	469	1006
318	470	1005
319	472	1003
320	473	1001
321	474	999
322	475	996
323	476	993
324	477	992
325	479	991
326	480	989
327	482	987
328	483	986
329	484	984
330	486	982
331	487	980
332	488	978
333	490	977
334	491	975
335	492	973
336	494	972
337	495	970
