iter	Logloss
0	0.6872254712
1	0.6813541234
2	0.6747996591
3	0.6698819294
4	0.6647360926
5	0.6586974309
6	0.653690964
7	0.6486601549
8	0.6438130516
9	0.6388929039
10	0.6339772849
11	0.6280810656
12	0.6235399869
13	0.6193089392
14	0.6139318264
15	0.6095123344
16	0.6049000298
17	0.6008324419
18	0.5970946768
19	0.5925567478
20	0.5883770242
21	0.5839746409
22	0.5800856532
23	0.5775508377
24	0.5734752971
25	0.5698503606
26	0.5660397138
27	0.5628949049
28	0.5600481278
29	0.556405911
30	0.5531509645
31	0.5495699149
32	0.5461426484
33	0.5424710811
34	0.5397718373
35	0.5367620614
36	0.5337543728
37	0.5303577721
38	0.5277448302
39	0.5248931538
40	0.5221961044
41	0.5193433861
42	0.5163718697
43	0.5140918205
44	0.511289252
45	0.508945613
46	0.5068645657
47	0.5046656327
48	0.5022558762
49	0.5003156539
50	0.4987642707
51	0.4966985659
52	0.4944005912
53	0.4920488207
54	0.4897784006
55	0.4880899692
56	0.4858387785
57	0.4841542044
58	0.4819674054
59	0.4802508193
60	0.4779944951
61	0.4760831673
62	0.4741063057
63	0.4722907427
64	0.4707899466
65	0.4693509953
66	0.4677901773
67	0.4657619149
68	0.4637114177
69	0.462139355
70	0.4604558274
71	0.458409381
72	0.4571183992
73	0.4557363646
74	0.4545125481
75	0.4527990537
76	0.4516475926
77	0.4503979247
78	0.448872126
79	0.4472932548
80	0.4459769734
81	0.444379603
82	0.4429709485
83	0.4423077717
84	0.4408599852
85	0.4397042498
86	0.4383107704
87	0.4369324719
88	0.4358153598
89	0.4348742501
90	0.4336891675
91	0.4327168821
92	0.431388066
93	0.4298942706
94	0.4287022352
95	0.4278120263
96	0.4265514845
97	0.4255304437
98	0.4243452049
99	0.4234575086
100	0.4223469122
101	0.4214580502
102	0.4208960678
103	0.4197504679
104	0.4188135982
105	0.4178328632
106	0.4173585612
107	0.4167898569
108	0.4159231807
109	0.4153012381
110	0.4143183705
111	0.4139189347
112	0.4136321057
113	0.4132738211
114	0.4120968605
115	0.4117964567
116	0.4112537409
117	0.4106338348
118	0.4099076595
119	0.4089133041
120	0.4082700458
121	0.4075296978
122	0.4066793606
123	0.4061361389
124	0.4058628898
125	0.4052122991
126	0.404523272
127	0.4038847964
128	0.4032010311
129	0.4023410633
130	0.4015448751
131	0.4011927938
132	0.4005461917
133	0.4001072271
134	0.3991715416
135	0.3983467749
136	0.3978494836
137	0.3973042909
138	0.3968017685
139	0.3961479615
140	0.3956945033
141	0.3949178861
142	0.3942830843
143	0.3939487864
144	0.3933386544
145	0.3928920929
146	0.3921543716
147	0.3920729754
148	0.3915934922
149	0.3908252743
150	0.3904348071
151	0.3896604851
152	0.3891761131
153	0.3886411693
154	0.3879504056
155	0.3876466551
156	0.3872118271
157	0.3866465586
158	0.3861460459
159	0.3853925736
160	0.3849748319
161	0.3847568282
162	0.3843738073
163	0.3838632721
164	0.3833466819
165	0.3832364882
166	0.3827320177
167	0.3821989893
168	0.3819541512
169	0.3814754441
170	0.3813371948
171	0.3809531667
172	0.3805229526
173	0.3800415072
174	0.3798269905
175	0.3793138356
176	0.3789571132
177	0.3785565475
178	0.3781833825
179	0.3777208132
180	0.3772775428
181	0.3768659906
182	0.3763283279
183	0.3760502828
184	0.375584604
185	0.3755342645
186	0.3751741091
187	0.3750072173
188	0.3744833786
189	0.3740360791
190	0.3737082641
191	0.3733213368
192	0.3730440017
193	0.3728517799
194	0.3723860504
195	0.3721427052
196	0.3716095779
197	0.3712016382
198	0.3709476589
199	0.370553251
200	0.3702447479
201	0.3698660143
202	0.3696078903
203	0.3692633692
204	0.3690699663
205	0.3686038175
206	0.3683657656
207	0.3679480775
208	0.3677628783
209	0.3675767387
210	0.3673930726
211	0.3670670988
212	0.3667390983
213	0.3662104566
214	0.3660524737
215	0.3658916689
216	0.3655972276
217	0.3652252766
218	0.3648965024
219	0.364833678
220	0.3646092836
221	0.3641548319
222	0.3639151007
223	0.3637865147
224	0.3636044716
225	0.3632695683
226	0.3630700504
227	0.3627356976
228	0.3623824531
229	0.3621027637
230	0.3618837279
231	0.3615802446
232	0.3613777415
233	0.3611497689
234	0.3610239201
235	0.3607092442
236	0.360418549
237	0.3602517207
238	0.359995444
239	0.3598740071
240	0.3594202193
241	0.3593935613
242	0.3593744956
243	0.359252061
244	0.358915687
245	0.3586680372
246	0.3585316747
247	0.3581436362
248	0.3580364145
249	0.3577359744
250	0.3576459506
251	0.3574301343
252	0.3572815075
253	0.356729893
254	0.3563183269
255	0.3560043549
256	0.3558419972
257	0.3557045171
258	0.3556213786
259	0.3552804237
260	0.3551291951
261	0.3549111538
262	0.3547057832
263	0.3544796876
264	0.354375262
265	0.3542560119
266	0.354118179
267	0.3538945378
268	0.3538069133
269	0.353608522
270	0.3535872571
271	0.3533969571
272	0.3531923554
273	0.3528552042
274	0.3527568421
275	0.3525518887
276	0.3523260372
277	0.3520229401
278	0.351713656
279	0.3515201892
280	0.351309677
281	0.3512391199
282	0.3510116489
283	0.3509240803
284	0.3509111381
285	0.3507798148
286	0.3505948515
287	0.3504954403
288	0.35042857
289	0.3502465578
290	0.3500943558
291	0.3499991832
292	0.3499827988
293	0.3497515951
294	0.3494239252
295	0.3492486291
296	0.349053659
297	0.3489017953
298	0.3488513779
299	0.3487331854
300	0.3485888073
301	0.3483791375
302	0.3481931524
303	0.3480723396
304	0.347870946
305	0.3477775539
306	0.3475326265
307	0.3472836326
308	0.34712591
309	0.3469443458
310	0.3468142913
311	0.3466320026
312	0.3464161645
313	0.3460337176
314	0.3459345972
315	0.3457215724
316	0.3456278326
317	0.3455281289
318	0.3452130729
319	0.3450035364
320	0.344617571
321	0.3444769017
322	0.3442475199
323	0.3439924272
324	0.3437097752
325	0.3436065695
326	0.343550571
327	0.3433629741
328	0.3433225477
329	0.3432609345
330	0.3428938024
331	0.3428350204
332	0.3426118645
333	0.3424896184
334	0.3423602439
335	0.3422775046
336	0.3418963101
337	0.3416269386
338	0.3413942883
339	0.3412680728
340	0.3411546102
341	0.3410739159
342	0.3408829333
343	0.3407185003
344	0.3406816198
345	0.3406156297
346	0.3405401975
347	0.3402311603
348	0.3401180762
349	0.3399225342
350	0.3396477758
351	0.3394911627
352	0.3392905649
353	0.3390740343
354	0.3388702589
355	0.3387319075
356	0.3386688725
357	0.3386173512
358	0.3383060676
359	0.3381886589
360	0.3380082021
361	0.3379171424
362	0.3378532366
363	0.3376675355
364	0.3375232079
365	0.337095193
366	0.3369722267
367	0.3367817482
368	0.3366400322
369	0.336536512
370	0.3364276192
371	0.3363578057
372	0.3362065725
373	0.3361252704
374	0.3360036117
375	0.335801788
376	0.3356609084
377	0.3353762211
378	0.3352857437
379	0.3351429719
380	0.334978614
381	0.3348651533
382	0.3347677562
383	0.3346901987
384	0.3344684953
385	0.3343921689
386	0.3342654975
387	0.3342126385
388	0.3339972498
389	0.3337996525
390	0.3336529548
391	0.3335866591
392	0.3334081837
393	0.3332812905
394	0.3332460613
395	0.3331185085
396	0.3330670553
397	0.3327408457
398	0.3326593011
399	0.3322274559
400	0.3319565603
401	0.3318553175
402	0.3317276219
403	0.3315496484
404	0.331416489
