iter	Passed	Remaining
0	3	3756
1	6	3030
2	8	2754
3	10	2525
4	12	2440
5	14	2438
6	16	2378
7	18	2316
8	20	2240
9	22	2185
10	24	2160
11	25	2136
12	27	2116
13	30	2138
14	32	2147
15	34	2108
16	36	2097
17	38	2093
18	41	2131
19	43	2136
20	46	2190
21	49	2184
22	52	2225
23	54	2227
24	57	2235
25	60	2268
26	63	2281
27	65	2287
28	67	2272
29	71	2301
30	73	2309
31	77	2336
32	80	2360
33	83	2369
34	86	2376
35	88	2359
36	90	2344
37	91	2323
38	95	2359
39	97	2346
40	99	2332
41	101	2319
42	103	2306
43	105	2293
44	108	2292
45	111	2317
46	113	2300
47	115	2288
48	117	2277
49	118	2255
50	120	2244
51	122	2235
52	126	2259
53	128	2250
54	130	2246
55	133	2257
56	136	2261
57	138	2253
58	141	2249
59	144	2264
60	147	2273
61	149	2268
62	152	2264
63	155	2275
64	158	2285
65	162	2295
66	165	2304
67	168	2310
68	171	2320
69	175	2335
70	177	2328
71	180	2321
72	181	2310
73	183	2300
74	186	2294
75	188	2286
76	191	2299
77	193	2290
78	195	2282
79	197	2275
80	199	2266
81	201	2260
82	204	2256
83	206	2250
84	208	2246
85	210	2238
86	212	2231
87	214	2227
88	216	2220
89	218	2209
90	221	2214
91	223	2207
92	225	2201
93	227	2196
94	231	2200
95	233	2195
96	236	2199
97	240	2215
98	244	2224
99	248	2233
100	250	2230
101	254	2241
102	257	2240
103	259	2238
104	261	2232
105	264	2229
106	267	2235
107	273	2256
108	275	2252
109	278	2253
110	281	2251
111	283	2246
112	285	2242
113	290	2260
114	294	2267
115	296	2259
116	298	2252
117	300	2246
118	304	2256
119	306	2248
120	309	2244
121	311	2239
122	313	2234
123	315	2229
124	318	2228
125	321	2230
126	324	2231
127	327	2228
128	330	2229
129	332	2228
130	336	2230
131	337	2220
132	340	2218
133	342	2213
134	345	2213
135	348	2215
136	351	2212
137	353	2207
138	356	2205
139	358	2205
140	362	2209
141	365	2211
