iter	RMSE
0	1.930170147
1	1.904323887
2	1.895120148
3	1.868694211
4	1.843761387
5	1.837583436
6	1.812487087
7	1.806867696
8	1.788104911
9	1.771807036
10	1.766725902
11	1.762476053
12	1.758182576
13	1.74183084
14	1.72874162
15	1.724831068
16	1.711451986
17	1.707442835
18	1.694470126
19	1.690815876
20	1.687301822
21	1.683838676
22	1.681487964
23	1.678996373
24	1.676289629
25	1.673406813
26	1.664377512
27	1.650765479
28	1.646862938
29	1.631352123
30	1.628304021
31	1.625599263
32	1.623090158
33	1.620628246
34	1.611689529
35	1.601390906
36	1.599435157
37	1.590162642
38	1.585385993
39	1.581749801
40	1.568645142
41	1.566764192
42	1.56450338
43	1.560602551
44	1.557520567
45	1.545041545
46	1.543407157
47	1.539747612
48	1.538088061
49	1.532704568
50	1.524818929
51	1.518743873
52	1.516656712
53	1.514194462
54	1.507477696
55	1.505123536
56	1.504255594
57	1.502058715
58	1.500254571
59	1.499028692
60	1.497676986
61	1.49677794
62	1.493287462
63	1.48490915
64	1.482722076
65	1.480709347
66	1.471780224
67	1.470419376
68	1.469020903
69	1.468309566
70	1.467010234
71	1.46623123
72	1.464736598
73	1.463521023
74	1.46237598
75	1.45436997
76	1.452492092
77	1.45117306
78	1.450141034
79	1.444116018
80	1.442868177
81	1.441562951
82	1.44079333
83	1.439738337
84	1.438417458
85	1.436904662
86	1.435744353
87	1.434963965
88	1.43403547
89	1.431588241
90	1.429948748
91	1.428633419
92	1.423821322
93	1.419589982
94	1.418433847
95	1.415901943
96	1.415564675
97	1.414317575
98	1.413454882
99	1.412472479
100	1.412022982
101	1.410948497
102	1.40982718
103	1.405069134
104	1.404182684
105	1.402951447
106	1.402355768
107	1.401486436
108	1.398713808
109	1.397657408
110	1.397074098
111	1.389101355
112	1.388082093
113	1.386707465
114	1.385996455
115	1.378191862
116	1.376323831
117	1.375244001
118	1.372853283
119	1.371863383
120	1.370172849
121	1.369362976
122	1.368789013
123	1.367932485
124	1.367317141
125	1.366660319
126	1.364091226
127	1.358659781
128	1.35645487
129	1.355089756
130	1.354805901
131	1.354216839
132	1.353463916
133	1.352739317
134	1.3519285
135	1.351105955
136	1.350537949
137	1.349606693
138	1.348941578
139	1.348229739
140	1.347806317
141	1.347411432
142	1.346558787
143	1.346353092
144	1.345986856
145	1.344670797
146	1.344046765
147	1.343459108
148	1.342993622
149	1.342500884
150	1.34169694
151	1.336631245
152	1.335953741
153	1.335098145
154	1.330908985
155	1.329824445
156	1.327482888
157	1.322939245
158	1.322538727
159	1.322167889
160	1.317605527
161	1.313987316
162	1.312700148
163	1.311985125
164	1.308983057
165	1.308160442
166	1.303097828
167	1.302232902
168	1.301596588
169	1.29871061
170	1.292304654
171	1.291708419
172	1.291003436
173	1.290804971
174	1.290658278
175	1.289949755
176	1.289628684
177	1.287811002
178	1.286811015
179	1.28604204
180	1.281829317
181	1.275778118
182	1.272675835
183	1.270415245
184	1.269718799
185	1.267530393
186	1.26676085
187	1.266123389
188	1.265463071
189	1.264878636
190	1.264261726
191	1.260371082
192	1.259073427
193	1.256983904
194	1.253227354
195	1.249591404
196	1.246044036
197	1.245402788
198	1.244840013
199	1.244235347
200	1.243791861
201	1.243289753
202	1.242704869
203	1.242097076
204	1.241778673
205	1.241348803
206	1.240188521
207	1.234757824
208	1.233997229
209	1.232755944
210	1.230753312
211	1.229227995
212	1.228703085
213	1.228596019
214	1.227472174
215	1.224178248
216	1.223782937
217	1.218617774
218	1.217820972
219	1.217245538
220	1.21662977
221	1.216535763
222	1.215953486
223	1.215395849
224	1.213500499
225	1.208512707
226	1.205459605
227	1.204914673
228	1.204370987
229	1.199647247
230	1.199183504
231	1.194857005
232	1.192966643
233	1.191138828
234	1.190603248
235	1.187792891
236	1.184664899
237	1.1829128
238	1.182395923
239	1.181964952
240	1.181853052
241	1.179084882
242	1.178591993
243	1.175844966
244	1.171828495
245	1.171351394
246	1.169624013
247	1.169129953
248	1.168826491
249	1.167169661
250	1.16558091
251	1.162918956
252	1.161555823
253	1.161076883
254	1.160612135
255	1.160086985
256	1.160000817
257	1.157699367
258	1.157248752
259	1.153389419
260	1.153309533
261	1.152872039
262	1.150338062
263	1.148645756
264	1.148162543
265	1.147341176
266	1.143667679
267	1.140114867
268	1.13970495
269	1.137398142
270	1.13515666
271	1.134735519
272	1.134337786
273	1.134263226
274	1.132976726
275	1.129659168
276	1.129115225
277	1.12635679
278	1.125969332
279	1.124402011
280	1.123891182
281	1.123516043
282	1.123447302
283	1.122930631
284	1.121246146
285	1.119712005
286	1.118243301
287	1.115780402
288	1.115414893
289	1.113979169
290	1.113886861
291	1.113402301
292	1.11191861
293	1.110839602
294	1.109527619
295	1.108060159
296	1.105670737
297	1.105132613
298	1.105053008
299	1.104695964
300	1.104180764
301	1.102912413
302	1.10210616
303	1.101084789
304	1.100737357
305	1.100305069
306	1.099965086
307	1.097649331
308	1.096723563
309	1.096275886
310	1.096214718
311	1.096157509
312	1.094899549
313	1.094462162
314	1.094000323
315	1.093343318
316	1.091060796
317	1.090721886
318	1.089534222
319	1.088896248
320	1.087467764
321	1.085950115
322	1.085104684
323	1.084770245
324	1.084150735
325	1.084062019
326	1.083529994
327	1.081351113
328	1.079124584
329	1.078001448
330	1.077398373
331	1.076268605
332	1.075756729
333	1.07570165
334	1.075049985
335	1.07288671
336	1.072300522
337	1.071650964
338	1.071223261
339	1.070126399
340	1.069100264
341	1.068541435
342	1.067512749
343	1.066971589
344	1.065976981
345	1.065359428
346	1.064835036
347	1.06478602
348	1.063762442
349	1.061650059
350	1.05943169
351	1.057370031
352	1.056899541
353	1.056506879
354	1.055739431
355	1.05522742
356	1.054742637
357	1.054282762
358	1.053858827
359	1.053362755
360	1.053311223
361	1.051252943
362	1.050771646
363	1.049827118
364	1.049334823
365	1.047645733
366	1.047178517
367	1.045176341
368	1.044265765
369	1.043672702
370	1.043219039
371	1.042780484
372	1.042341289
373	1.041957896
374	1.041438842
375	1.040983425
376	1.040557908
377	1.040312949
378	1.039901069
379	1.038993137
380	1.038600834
381	1.038424646
382	1.03638412
383	1.034522007
384	1.033700788
385	1.032401773
386	1.031619621
387	1.031217866
388	1.029334878
389	1.028902816
390	1.028490286
391	1.028104309
392	1.02771433
393	1.025895175
394	1.025005627
395	1.024613659
396	1.024254382
397	1.0238541
398	1.023478849
399	1.023099817
400	1.022864455
401	1.022397355
402	1.022171653
403	1.021309166
404	1.020475926
405	1.020108215
406	1.019752331
407	1.018141341
408	1.017796291
409	1.017564557
410	1.017313619
411	1.016979606
412	1.016656327
413	1.015678389
414	1.014867081
415	1.014521629
416	1.012502789
417	1.012147377
418	1.011965567
419	1.011667164
420	1.011352541
421	1.011141155
422	1.010781051
423	1.010643101
424	1.009857161
425	1.009615704
426	1.00887859
427	1.008114513
428	1.007378148
429	1.007041623
430	1.006326028
431	1.006216988
432	1.004323594
433	1.004021146
434	1.003327639
435	1.003034744
436	1.002751284
437	1.002516304
438	1.001847557
439	1.001548453
440	1.001230143
441	1.000980159
442	1.000286715
443	0.9999855295
444	0.9997104345
445	0.9990234241
446	0.9983958661
447	0.9981292782
448	0.9975225598
449	0.9972588422
450	0.9966669618
451	0.9960945842
452	0.9947993497
453	0.9941607112
454	0.9939016425
455	0.993528624
456	0.993432488
457	0.9931533841
458	0.9929024174
459	0.9926735952
460	0.9921178275
461	0.9918748038
462	0.991653327
463	0.9912998592
464	0.9907648022
465	0.9904970056
466	0.9897102568
467	0.9893931983
468	0.9891786403
469	0.9872721899
470	0.9870356821
471	0.9851878935
472	0.9833892031
473	0.9831569024
474	0.9826313916
475	0.9824428525
476	0.9822179831
477	0.9820090942
478	0.9815032369
479	0.9812304172
480	0.9810126728
481	0.9809230048
482	0.9794932326
483	0.9787849163
484	0.9784622402
485	0.9782081516
486	0.9779967367
487	0.9775057794
488	0.9773011653
489	0.9770983758
490	0.976902188
491	0.9767110556
492	0.9764496034
493	0.9761183732
494	0.9747162311
495	0.9742364882
496	0.9730311562
497	0.9729471209
498	0.9722836195
499	0.970516993
500	0.9702717485
501	0.970071973
502	0.969836274
503	0.9696513558
504	0.969458033
505	0.9687252402
506	0.9675450366
507	0.966465555
508	0.966286091
509	0.9661193909
510	0.9656533271
511	0.9654656404
512	0.9652840823
513	0.965034383
514	0.9647506881
515	0.9645229036
516	0.9631999172
517	0.9630237888
518	0.9628496394
519	0.9623836744
520	0.9622132242
521	0.9620483366
522	0.9611701118
523	0.960493683
524	0.9587297613
525	0.9585605318
526	0.9584004215
527	0.9582412502
528	0.9576720555
529	0.9572004781
530	0.9570452142
531	0.9554037577
532	0.9552480491
533	0.9550257924
534	0.9548799438
535	0.9542662931
536	0.9540292855
537	0.9537994758
538	0.953636832
539	0.9534955026
540	0.9532603034
541	0.953102898
542	0.9526518901
543	0.952245089
544	0.9518231007
545	0.9516861394
