iter	Passed	Remaining
0	164	164498
1	174	86839
2	182	60797
3	193	48178
4	202	40262
5	212	35196
6	222	31514
7	241	29908
8	257	28349
9	276	27335
10	301	27068
11	319	26344
12	348	26435
13	360	25390
14	377	24783
15	420	25884
16	448	25933
17	488	26657
18	509	26308
19	530	26015
20	553	25784
21	570	25368
22	590	25073
23	606	24677
24	632	24659
25	663	24870
26	694	25022
27	717	24897
28	735	24635
29	753	24356
30	790	24724
31	825	24973
32	846	24806
33	864	24558
34	891	24589
35	905	24250
36	918	23903
37	941	23830
38	960	23668
39	986	23676
40	1013	23704
41	1022	23323
42	1034	23027
43	1050	22834
44	1081	22951
45	1090	22622
46	1103	22372
47	1124	22307
48	1143	22198
49	1160	22041
50	1177	21904
51	1194	21769
52	1206	21556
53	1220	21383
54	1240	21306
55	1256	21183
56	1271	21034
57	1288	20920
58	1299	20726
59	1317	20643
60	1335	20554
61	1349	20422
62	1367	20335
63	1383	20236
64	1405	20218
65	1428	20211
66	1444	20110
67	1460	20022
68	1474	19901
69	1489	19795
70	1503	19672
71	1517	19557
72	1526	19386
73	1543	19320
74	1557	19210
75	1573	19130
76	1588	19045
77	1600	18916
78	1611	18790
79	1630	18748
80	1648	18700
81	1661	18604
82	1682	18591
83	1693	18467
84	1705	18354
85	1718	18264
86	1728	18140
87	1746	18096
88	1762	18042
89	1776	17958
90	1788	17867
91	1802	17791
92	1815	17704
93	1833	17669
94	1844	17569
95	1853	17455
96	1871	17425
97	1891	17412
98	1903	17325
99	1918	17267
100	1934	17221
101	1949	17161
102	1965	17120
103	1980	17063
104	2000	17054
105	2013	16983
106	2022	16878
107	2037	16825
108	2054	16794
109	2065	16713
110	2086	16707
111	2107	16712
112	2125	16681
113	2138	16617
114	2157	16603
115	2171	16547
116	2196	16573
117	2209	16514
118	2222	16452
119	2235	16393
120	2249	16341
121	2260	16267
122	2275	16225
123	2291	16189
124	2305	16135
125	2328	16152
126	2349	16147
127	2362	16096
128	2371	16014
129	2387	15978
130	2405	15957
131	2417	15899
132	2429	15834
133	2446	15809
134	2461	15774
135	2476	15733
136	2491	15693
137	2508	15670
138	2532	15688
139	2546	15642
140	2558	15585
